Hotel,City,Style,Phone Number,Phone Number 2,Phone Number 3,Website,Website 2,Website 3,Instagram,Facebook,X Twitter,location,Map Embed,Description,Amenities,Rating,Price Range
Beit Al Wali,Damascus,Damascene architectural style,+963 11 543 6666,+963 11 543 6667,,https://www.beitalwali.com,https://www.beitalwali.com/booking,,@beitalwali,BeitAlWaliHotel,,G867+JMR، Bab Touma Main Road, Boolad, Damascus, Syria,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,A beautiful traditional Damascene hotel in the heart of Old Damascus,WiFi,Air Conditioning,Restaurant,24/7 Reception,4.5,$$$
Talisman 2,Damascus,Damascene architectural style,+963 988 900 900,,,https://www.instagram.com/talismanhotels/?hl=en,,,@talismanhotels,TalismanHotels,,Al Ameen Street, Old Damascus,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Historic hotel with traditional architecture,WiFi,Air Conditioning,Restaurant,Bar,4.2,$$$
Agenor,Damascus,Damascene architectural style,+963 11 541 3651,,,https://www.instagram.com/agenorhotel/?hl=en,,,@agenorhotel,AgenorHotel,,Straight street, Old Damascus, Damascus, Syria,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Charming hotel in the historic Straight Street,WiFi,Air Conditioning,Restaurant,4.0,$$
Via Recta,Damascus,Damascene architectural style,+963 964 333 700,,,https://viarectahotel.com/,,,@viarectahotel,ViarectaHotel,,Bab Sharqi – Damascus – Syria,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Modern hotel with traditional touches,WiFi,Air Conditioning,Restaurant,Pool,4.3,$$$
Al Pasha,Damascus,Damascene architectural style,,,https://www.instagram.com/alpasha.hotel/?hl=en,,,@alpasha.hotel,AlPashaHotel,,Zaitoun street, Damascus, Syria,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Luxury hotel with traditional architecture,WiFi,Air Conditioning,Restaurant,Spa,5.0,$$$$
Art House,Damascus,Damascene architectural style,+963 11 6628112,,,https://arthouse-hotel.com/,,,@arthousehotel,ArtHouseHotel,,Mazzeh Behind the Children Hospital,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Boutique hotel with artistic flair,WiFi,Air Conditioning,Restaurant,Art Gallery,4.1,$$$
Old Vine,Damascus,Damascene architectural style,,,14 As Sawwaf, Damascus, Syria,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Traditional hotel with historic charm,WiFi,Air Conditioning,Restaurant,3.8,$$
Beit Al Mamlouka,Damascus,Damascene architectural style,,,Bab Touma, Al- Kaymariya Street, on the left of the Hammam Bakri,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Historic palace converted to hotel,WiFi,Air Conditioning,Restaurant,Historic Tours,4.6,$$$
Bab Touma,Damascus,Damascene architectural style,+963 998 258 888,,,http://www.babtoumahotel.com/en/,,,@babtoumahotel,BabToumaHotel,,Bab Touma,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Traditional hotel in Bab Touma district,WiFi,Air Conditioning,Restaurant,4.0,$$
Four Seasons,Damascus,Modern,011-3391000,,,https://www.instagram.com/four_seasons_damascus_hotel/?hl=en,,,@four_seasons_damascus_hotel,FourSeasonsDamascus,,Shukri Al Qwatli Avenue, Damascus,<iframe src="https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3329.123456789!2d36.2765!3d33.5138!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzPCsDMwJzQ5LjciTiAzNsKwMTYnMzUuNCJF!5e0!3m2!1sen!2sus!4v1234567890123!5m2!1sen!2sus" width="100%" height="200" style="border:0;" allowfullscreen="" loading="lazy" referrerpolicy="no-referrer-when-downgrade"></iframe>,Luxury international hotel chain,WiFi,Air Conditioning,Restaurant,Spa,Pool,Gym,5.0,$$$$
